Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
672,618978,Gondia - Dongargarh 4th line [84 Km],South Eastern Central Railway,Multi-States (Chhattisgarh Maharashtra),10/2025,10/2025,10/2030,-,2222.53,2222.53,0.0,0.0,Aviation & Aviation Infrastructure
673,705617,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,Multi-States (Chhattisgarh Maharashtra),09/2016,12/2016,12/2024,06/2026,3545.0,3545.0,3639.58,96.0,Aviation & Aviation Infrastructure
674,617390,Sardega -Bhalumuda New Double line [37.24 Km],SECR,Multi-States (Chhattisgarh Odisha),09/2024,09/2024,03/2028,-,1281.81,1281.81,128.07,4.0,Aviation & Aviation Infrastructure
675,705511,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,Multi-States (Chhattisgarh Odisha),12/2015,03/2016,03/2024,12/2026,1547.0,1547.0,1379.69,94.46,Aviation & Aviation Infrastructure
676,705616,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,Multi-States (Chhattisgarh Odisha),09/2016,09/2016,10/2024,03/2026,2140.0,2979.0,2260.48,97.0,Aviation & Aviation Infrastructure
677,705728,Mumbai-Ahmedabad High Speed Rail Project- 508 km,National High Speed Rail Corporation [NHSRC],Multi-States (Dadra & Nagar Haveli and Daman & Diu Gujarat Maharashtra),03/2015,09/2017,08/2027,12/2029,108000.0,108000.0,90501.89,59.86,Aviation & Aviation Infrastructure
678,705793,Raising of speed to 160 kmph/200 kmph on existing New Delhi-Mumbai route incl. Vadodara-Ahmedabad,PCE/WR,Multi-States (Delhi Gujarat Madhya Pradesh Maharashtra Rajasthan),09/2019,09/2019,03/2024,03/2026,6806.44,8095.12,9480.86,66.32,Aviation & Aviation Infrastructure
679,705650,Hospet - Tinaighat - Vasco Rail Doubling Project,RVNL - II,Multi-States (Goa Karnataka),03/2010,07/2012,03/2027,12/2027,5060.0,5060.0,5304.19,86.13,Aviation & Aviation Infrastructure
680,706950,Hospet-Hubli-Vasco da Gama Line Electrification Project,RVNL,Multi-States (Goa Karnataka),07/2015,05/2018,03/2023,06/2026,744.49,1122.62,1163.14,99.65,Aviation & Aviation Infrastructure
681,705237,Western Dedicated Freight Corridor,DFCCIL,Multi-States (Gujarat Haryana Maharashtra Rajasthan Uttar Pradesh),02/2008,01/2012,03/2022,12/2025,51101.0,124005.0,124623.0,96.0,Aviation & Aviation Infrastructure
682,705453,New line Dahod-Indore via Sardarpur Jabuwa and Dhar,Western Railway [WR] - II,Multi-States (Gujarat Madhya Pradesh),06/2012,06/2012,02/2027,02/2027,456.07,3516.77,4157.76,55.0,Aviation & Aviation Infrastructure
683,705454,Chhota Udaipur - Dhar New Line Project [157 km],Western Railway [WR] - II,Multi-States (Gujarat Madhya Pradesh),11/2008,01/2014,12/2025,12/2025,1794.0,1794.0,1819.63,80.3,Aviation & Aviation Infrastructure
684,611452,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION SYSTEM 500 RKM,Western Railway,Multi-States (Gujarat Maharashtra),09/2019,03/2023,12/2025,12/2026,311.0,311.0,263.42,93.0,Aviation & Aviation Infrastructure
685,400022,Taranga Hill-Abu Road via Ambaji,North Western Railway [NWR],Multi-States (Gujarat Rajasthan),07/2022,07/2022,07/2030,07/2030,2798.0,2798.0,2439.32,37.0,Aviation & Aviation Infrastructure
686,616842,LUNI- SAMDARI- BHILDI DOUBLING,North Western Railway [NWR],Multi-States (Gujarat Rajasthan),02/2024,02/2024,07/2027,-,3085.59,3085.59,778.73,30.0,Aviation & Aviation Infrastructure
687,705424,Chandigarh-Baddi New Rail Line- 36 km,Northen Railway [NR],Multi-States (Haryana Himachal Pradesh),02/2018,02/2018,12/2026,12/2026,1540.0,1540.13,590.11,43.0,Aviation & Aviation Infrastructure
688,611861,Rewari - Kathuwas Doubling Project [27.72 Km],North Western Railway [NWR],Multi-States (Haryana Rajasthan),02/2023,12/2022,06/2027,06/2027,352.0,352.0,315.28,73.0,Aviation & Aviation Infrastructure
689,705410,Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding Mukerian-Talwara [29 KM],Northen Railway [NR],Multi-States (Himachal Pradesh Punjab),03/1983,05/1985,12/2025,12/2027,2018.0,2018.0,2384.29,84.0,Aviation & Aviation Infrastructure
690,705428,Bhanupalli-Bilaspur-Beri New Railway Line Project,RVNL - II,Multi-States (Himachal Pradesh Punjab),03/2009,04/2015,12/2026,12/2027,13447.0,13447.0,7558.16,63.0,Aviation & Aviation Infrastructure
691,705628,Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km,South Eastern Railway - JH,Multi-States (Jharkhand Odisha),03/2016,02/2017,06/2025,06/2026,3029.0,3029.04,2629.17,92.0,Aviation & Aviation Infrastructure
692,616588,Buramara-Chakulia new line [59.96 km],South Eastern Railway [SER] - I,Multi-States (Jharkhand Odisha West Bengal),08/2024,12/2024,12/2029,-,1459.13,1459.13,7.58,0.0,Aviation & Aviation Infrastructure
693,616227,Chandil - Anara - Damodar - 3rd line [121.26 km],CAO/C/SER,Multi-States (Jharkhand West Bengal),09/2024,07/2025,09/2029,-,1932.01,1932.01,4.51,0.0,Aviation & Aviation Infrastructure
694,705668,KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM,RVNL - I,Multi-States (Jharkhand West Bengal),09/2016,01/2018,03/2025,06/2026,3250.0,3250.0,3287.18,97.5,Aviation & Aviation Infrastructure
695,703586,Baiyyappanahalli - Hosur Doubling Project [48 km],Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Multi-States (Karnataka Tamil Nadu),04/2019,02/2019,03/2024,01/2026,498.7,748.7,698.51,88.0,Aviation & Aviation Infrastructure
696,705635,Trivandrum- Kanyakumari,Southern Railway [SR] - I,Multi-States (Kerala Tamil Nadu),08/2017,03/2016,03/2025,06/2028,1432.0,3785.45,2909.77,56.0,Aviation & Aviation Infrastructure
697,705457,Ratlam-Mhow-Khandwa-Akola Gauge Conversion,Western Railway [WR] - II,Multi-States (Madhya Pradesh Maharashtra),04/2008,03/2010,03/2027,09/2028,1656.25,6499.86,4606.71,83.0,Aviation & Aviation Infrastructure
698,705507,Itarsi - Nagpur Third Railway Line [280 km],Central Railway [CR] - II,Multi-States (Madhya Pradesh Maharashtra),09/2016,09/2016,03/2027,12/2027,2449.91,2506.68,2155.76,55.0,Aviation & Aviation Infrastructure
699,617406,RATLAM- DUNGARPUR VIA BANSWARA NEW LINE PROJECT,North Western Railway [NWR],Multi-States (Madhya Pradesh Rajasthan),10/2015,05/2023,03/2028,-,2417.24,2417.24,7.19,8.0,Aviation & Aviation Infrastructure
700,705419,Gwalior - Seopurkala with extension to Kota [Gauge Conversion],North Central Railway,Multi-States (Madhya Pradesh Rajasthan),03/2011,07/2018,03/2025,02/2026,2913.0,2913.0,2213.55,92.0,Aviation & Aviation Infrastructure
701,705481,Ramganjmandi-Bhopal New Line Project [276.50 km],West Central Railway [WCR] - II,Multi-States (Madhya Pradesh Rajasthan),03/2001,10/2004,12/2025,12/2027,3032.0,5073.0,4139.87,81.0,Aviation & Aviation Infrastructure
702,705764,Nimach-Badi Sadri New Rail Line Project,Western Railway [WR] - II,Multi-States (Madhya Pradesh Rajasthan),04/2017,09/2021,03/2026,06/2026,495.0,825.0,261.69,60.0,Aviation & Aviation Infrastructure
703,705667,Mathura-Jhansi Third Railway Line [274 Km],RVNL - II,Multi-States (Madhya Pradesh Rajasthan Uttar Pradesh),12/2015,03/2018,12/2024,12/2026,5961.0,5961.0,5121.42,95.48,Aviation & Aviation Infrastructure
704,705598,Jhansi - Bina Third Railway Line [153 Km],CAO/C/NCR,Multi-States (Madhya Pradesh Uttar Pradesh),09/2016,03/2018,03/2022,03/2026,2002.0,2002.0,1939.11,96.0,Aviation & Aviation Infrastructure
705,705608,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,Multi-States (Madhya Pradesh Uttar Pradesh),03/2018,04/2019,03/2026,03/2026,4330.0,4330.0,2895.52,68.0,Aviation & Aviation Infrastructure
706,705613,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,Multi-States (Maharashtra Telangana),09/2016,10/2016,01/2025,11/2025,2595.0,3071.0,4141.26,94.7,Aviation & Aviation Infrastructure
707,705629,Narayangarh-Bhadrak 3rd line,South Eastern Railway [SER] - I,Multi-States (Odisha West Bengal),03/2019,03/2017,12/2025,01/2027,2400.0,3425.32,2655.21,77.0,Aviation & Aviation Infrastructure
708,400223,Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line,Ministry of Railways,Multi-States (Puducherry Tamil Nadu),07/2008,01/2019,03/2027,03/2028,713.0,981.0,635.3,80.0,Aviation & Aviation Infrastructure
709,705432,Sivok-Rangpo New Rail Line,Indian Railway Construction International Limited [IRCON],Multi-States (Sikkim West Bengal),10/2009,05/2010,05/2015,12/2027,7877.0,11775.0,10770.42,93.0,Aviation & Aviation Infrastructure
710,602797,Sainthia Sitarampur Mughalsarai Allahabad & Etawah - Bypass Line Project,Eastern Railway [ER] - I,Multi-States (Uttar Pradesh West Bengal),08/2017,12/2017,03/2027,03/2027,461.64,461.64,291.24,31.85,Aviation & Aviation Infrastructure
711,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Odisha,10/2021,10/2021,10/2025,12/2026,808.99,808.99,701.15,38.0,Aviation & Aviation Infrastructure
712,400045,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,Odisha,08/2022,07/2022,03/2025,01/2025,168.32,168.32,69.85,82.0,Aviation & Aviation Infrastructure
713,400047,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,Odisha,08/2022,06/2022,12/2024,12/2026,210.0,210.0,39.31,52.0,Aviation & Aviation Infrastructure
714,400048,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,Odisha,09/2022,06/2022,12/2024,06/2027,186.21,186.21,100.97,88.0,Aviation & Aviation Infrastructure
715,400232,Brundamal-Jharsuguda- flyover connection for joining downline,East Coast Railway [ECoR] - II,Odisha,01/2014,01/2014,12/2026,12/2026,297.0,297.0,232.73,56.0,Aviation & Aviation Infrastructure
716,612834,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR],East Coast Railway [ECoR] - II,Odisha,04/2023,04/2023,12/2025,-,252.0,252.0,117.3,86.0,Aviation & Aviation Infrastructure
717,615915,Rourkela-Bondamunda A-Cabin 5th line [9.6 km],CAO/C/SER,Odisha,09/2022,12/2023,03/2026,-,244.99,244.99,95.42,31.0,Aviation & Aviation Infrastructure
718,616586,Bangriposi-Gorumahisani new line [ 85.60 km ],CAO/C/SER,Odisha,08/2024,09/2025,12/2029,-,2269.49,2269.49,7.14,0.0,Aviation & Aviation Infrastructure
719,616587,Badampahar-Kendujhargarh new line [82.06 km],CAO/C/SER,Odisha,08/2024,09/2025,12/2029,-,1875.72,1875.72,2.15,0.0,Aviation & Aviation Infrastructure
720,616694,Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains,East Coast Railway [ECoR] - II,Odisha,04/2023,10/2025,07/2028,-,200.77,200.77,34.06,5.5,Aviation & Aviation Infrastructure
721,616695,Paradeep - Badabandha 3rd & 4th Line / 18.51kms,East Coast Railway [ECoR] - II,Odisha,08/2023,04/2025,11/2028,-,300.15,300.15,0.89,10.5,Aviation & Aviation Infrastructure
722,616839,Naupada-Gunupur - New line upto Theruvali [73.62 km],Indian Railway,Odisha,08/2024,04/2026,12/2029,-,1165.89,1165.89,0.0,0.0,Aviation & Aviation Infrastructure
723,618995,New Line between Junagarh - Nabarangpur [116.21 Km],Indian Railway,Odisha,08/2024,08/2025,08/2030,-,2864.51,2864.51,0.0,0.0,Aviation & Aviation Infrastructure
724,705358,Khurda-Bolangir New Broad Gauge Rail Link [301km],East Coast Railway [ECoR] - II,Odisha,03/1994,03/2001,12/2026,12/2026,3792.0,5089.0,5671.96,92.0,Aviation & Aviation Infrastructure
725,705359,Talcher-Bimlagarh New Railway Line,East Coast Railway [ECoR] - II,Odisha,03/2004,12/2004,03/2025,03/2029,1928.0,1928.0,2120.08,56.0,Aviation & Aviation Infrastructure
726,705510,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,Odisha,10/2015,04/2015,11/2024,01/2026,1284.0,1284.0,1352.81,95.0,Aviation & Aviation Infrastructure
727,705513,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,Odisha,12/2015,12/2015,12/2027,03/2028,2362.0,2362.0,1962.43,74.6,Aviation & Aviation Infrastructure
728,705514,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,Odisha,11/2015,12/2015,11/2018,03/2028,1000.0,810.02,455.8,59.0,Aviation & Aviation Infrastructure
729,705515,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,Odisha,07/2013,12/2015,03/2026,03/2026,1173.0,2092.0,2120.58,89.0,Aviation & Aviation Infrastructure
730,705741,Jeypore-Navarangpur New Rail Line Project,East Coast Railway [ECoR] - II,Odisha,07/2017,04/2023,07/2028,12/2029,748.0,748.0,15.91,1.97,Aviation & Aviation Infrastructure
731,705742,Jeypore-Malkanagiri New Railway Line Project,East Coast Railway [ECoR] - II,Odisha,02/2018,12/2023,07/2033,07/2033,2344.0,2344.0,549.72,23.1,Aviation & Aviation Infrastructure
732,706898,Khurda Road - Balangir Electrification of Railway Track Project,Ministry of Railways,Odisha,09/2018,09/2019,03/2021,-,267.61,267.61,0.0,0.0,Aviation & Aviation Infrastructure
733,709811,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms,East Coast Railway [ECoR] - II,Odisha,09/2022,05/2025,09/2027,09/2027,190.0,189.93,3.4,5.0,Aviation & Aviation Infrastructure
734,705362,Jaynagar-Bijalpura incl. extn. Bet Bijalpura-Bardibas [Nepal],East Central Railway [ECR] - I,Offshore,08/2015,03/2011,03/2022,03/2026,819.0,819.0,580.51,75.0,Aviation & Aviation Infrastructure
735,705298,North Region Video Surveillance Project,RCIL,PAN India,06/2020,04/2023,03/2024,-,274.39,274.39,0.0,48.0,Aviation & Aviation Infrastructure
736,607653,Ludhiana Mullanpur 21Km Doubling Railway project,CAO/C/NR,Punjab,,10/2022,06/2024,-,234.78,234.78,10.0,0.0,Aviation & Aviation Infrastructure
737,705783,Ludhiana- Killa Raipur Railway Doubling Project,Railway,Punjab,03/2019,12/2022,03/2025,02/2027,237.64,238.0,137.05,57.0,Aviation & Aviation Infrastructure
738,611855,Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli Gauge Conversion [152 Km],North Western Railway [NWR],Rajasthan,01/2023,01/2023,01/2027,-,968.92,968.92,708.25,73.0,Aviation & Aviation Infrastructure
739,611929,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions under WTA 527,WPO/Patna,Rajasthan,09/2022,06/2023,12/2024,-,166.86,166.86,0.0,0.0,Aviation & Aviation Infrastructure
740,616841,PUSHKAR- MERTA CITY NEW LINE,North Western Railway [NWR],Rajasthan,02/2024,02/2024,12/2026,-,799.64,799.64,131.75,8.0,Aviation & Aviation Infrastructure
741,616843,AJMER- CHANDERIYA DOUBLING,North Western Railway [NWR],Rajasthan,02/2024,02/2024,06/2027,-,1634.79,1634.79,377.37,12.0,Aviation & Aviation Infrastructure
742,617403,SADULPUR - CHURU DOUBLING PROJECT,North Western Railway [NWR],Rajasthan,01/2024,01/2024,06/2026,-,468.64,468.64,188.7,90.0,Aviation & Aviation Infrastructure
743,617404,POKHRAN - RAMDEVRA New Line,North Western Railway [NWR],Rajasthan,04/2025,04/2025,03/2028,-,189.21,189.21,0.0,0.0,Aviation & Aviation Infrastructure
744,617408,NATHDWARA- NATHDWARA TOWN NL,North Western Railway [NWR],Rajasthan,03/2019,04/2024,03/2027,-,166.33,166.33,109.96,15.0,Aviation & Aviation Infrastructure
745,705482,Dholpur - Sirmuttra Gauge Conversion,North Central Railway,Rajasthan,03/2022,04/2020,02/2019,02/2027,747.0,747.0,491.95,49.5,Aviation & Aviation Infrastructure
746,705752,Gudha-Thatha Mithri Construction of Railway Track Project,North Western Railway [NWR],Rajasthan,04/2019,04/2019,11/2026,11/2026,819.48,967.06,400.92,94.0,Aviation & Aviation Infrastructure
747,705912,Sawai Madhopur-Jaipur Railway Line Project,North Western Railway [NWR],Rajasthan,02/2024,04/2023,03/2027,-,1203.89,1203.89,207.11,19.0,Aviation & Aviation Infrastructure
748,705919,Agra Fort-Bandikui Doubling Line Project,CAO/C/NCR,Rajasthan,06/2022,02/2021,06/2027,06/2027,1390.0,1390.0,477.04,54.0,Aviation & Aviation Infrastructure
749,706836,Dedicated Test Track for RDSO /Phase-II Project,North Western Railway [NWR],Rajasthan,11/2021,01/2022,03/2026,-,466.42,466.42,533.9,98.0,Aviation & Aviation Infrastructure
750,706866,Sawaimadhopur Bye Pass Line Project,North Western Railway [NWR],Rajasthan,12/2022,01/2023,03/2026,05/2027,304.0,304.0,83.03,72.0,Aviation & Aviation Infrastructure
751,400280,Phase II extension of MRTS from Velachery to St Thomas Mount,Ministry of Railways,Tamil Nadu,11/2007,11/2008,07/2025,09/2025,734.0,734.01,486.53,99.9,Aviation & Aviation Infrastructure
752,613002,Redevelopment of Chennai Egmore Station,Ministry of Railways,Tamil Nadu,05/2022,10/2022,03/2026,-,842.0,842.0,340.0,0.0,Aviation & Aviation Infrastructure
753,705244,Coach Production Factory Upgradation Project,CPM/ICF,Tamil Nadu,12/2017,07/2018,12/2021,-,520.0,520.0,192.25,0.0,Aviation & Aviation Infrastructure
754,705489,Madurai- Tuticorin New Line,Ministry of Railways,Tamil Nadu,04/2011,09/2016,07/2021,12/2027,601.43,2084.48,641.26,0.0,Aviation & Aviation Infrastructure
755,616856,Doubling between Bhadrachalam Road and Dornakal,South Central Railway [SCR] - II,Telangana,08/2023,04/2025,04/2029,-,770.12,770.12,87.93,0.05,Aviation & Aviation Infrastructure
756,617409,Railway Manufacturing Unit,RVNL - II,Telangana,07/2016,02/2023,12/2026,03/2026,521.36,521.36,491.87,90.0,Aviation & Aviation Infrastructure
757,705252,Kazipet Wagon Overhauling Project,RVNL,Telangana,09/2017,07/2017,12/2023,-,385.0,385.0,0.0,0.0,Aviation & Aviation Infrastructure
758,705437,Manoharabad-Kothapalli New Rail Line [151 km],South Central Railway [SCR] - II,Telangana,07/2016,01/2017,03/2027,12/2027,1160.0,2781.0,3040.86,72.01,Aviation & Aviation Infrastructure
759,400204,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar,North Eastern Railway [NER],Uttar Pradesh,10/2018,03/2017,10/2030,10/2030,4939.78,4939.78,1055.82,8.9,Aviation & Aviation Infrastructure
760,400205,Sahjanwa-Dohrighat,North Eastern Railway [NER],Uttar Pradesh,08/2019,03/2017,03/2029,03/2029,1319.75,1319.75,492.3,4.0,Aviation & Aviation Infrastructure
761,617213,Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new Rail-cum-Road Bridge across Ganga River.,Northern Railways,Uttar Pradesh,10/2024,10/2025,10/2029,-,2464.46,2464.46,59.82,2.42,Aviation & Aviation Infrastructure
762,617252,Anandnagar - Ghugli via Maharajganj New line 52.7 km,Construction NER,Uttar Pradesh,10/2023,11/2023,03/2028,-,958.27,958.27,635.41,23.8,Aviation & Aviation Infrastructure
763,617284,Chunar-Chopan doubling project,North Central Railway,Uttar Pradesh,08/2023,01/2025,03/2028,-,1423.96,1423.96,123.09,17.0,Aviation & Aviation Infrastructure
764,617333,Surface triangle line bet. Bhadura stn and new crossing stn Karma,East Central Railway [ECR] - I,Uttar Pradesh,10/2022,05/2024,02/2027,-,199.96,199.96,5.19,0.5,Aviation & Aviation Infrastructure
765,617370,Doubling between Jaunpur Jn - Zaffarabad 6.28 km,M/S SRC company Infra Private Limited,Uttar Pradesh,03/2023,02/2025,01/2027,-,180.66,180.66,43.65,10.5,Aviation & Aviation Infrastructure
766,705567,Burhwal Gonda 3rd line,North Eastern Railway [NER],Uttar Pradesh,11/2017,07/2019,03/2025,05/2026,1016.0,1118.0,1050.11,88.4,Aviation & Aviation Infrastructure
767,705588,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,Uttar Pradesh,11/2017,03/2017,03/2025,03/2026,722.0,1194.0,1691.52,70.0,Aviation & Aviation Infrastructure
768,705766,Lalitpur-Birari with flyover at Lalitpur- 16 Km,North Central Railway,Uttar Pradesh,03/2017,11/2017,12/2024,01/2026,304.44,356.0,255.32,86.0,Aviation & Aviation Infrastructure
769,705771,Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project,North Central Railway,Uttar Pradesh,04/2019,10/2020,03/2026,03/2026,494.0,494.0,397.57,78.0,Aviation & Aviation Infrastructure
770,705772,Mughalsarai-Allahabad 3rd line,North Central Railway,Uttar Pradesh,12/2015,03/2016,12/2026,03/2027,2649.0,2649.44,1930.12,71.0,Aviation & Aviation Infrastructure
771,705774,Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project,CAO/C/NCR,Uttar Pradesh,04/2019,09/2020,01/2025,03/2027,758.0,779.49,484.51,83.0,Aviation & Aviation Infrastructure
