Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
1385,N24000994,CONSTRUCTION OF SIX LANE ELEVATED CORRIDOR FROM KM.7.950 (UPPAL) TO KM.14.200 OF NH-163 TO DE-CONGES,MoRTH,LADAKH,3-2018,7/2020,-,626.76,-,272.64,45.30,RAILWAYS
1386,N24000996,REHABILITATION AND UP-GRADATION TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/0 TO 72/6 OF NH-365 (NAKR,MoRTH,LADAKH,1-2017,10/2019,-,605.08,-,413.37,99.84,RAILWAYS
1387,N24000997,REHABILITATION AND UP GRADATION FROM KM. 121/0 TO 154/0 OF NAKAREKAL ? MALLAMPALLY SECTION OF NH-365,MoRTH,LADAKH,3-2018,7/2019,-,192.67,-,176.37,92.00,RAILWAYS
1388,N24000998,WIDENING AND STRENGTHENING/ RECONSTRUCTION OF EXISTING PAVEMENT TO FOUR ALNE WITH PAVED SHOULDERS FR,MoRTH,LADAKH,1-2019,(N.A.),-,193.19,-,222.58,95.00,RAILWAYS
1389,N24001482,KHAMMAM-DEVARAPALLE PKG I [4L ACCESS CONTROLLED (GREENFIELD) FROM THALLAMPADU VILLAGE TO SOMAVARAM,NHAI,LADAKH,8-2022,10/2024,Aug-2022,772.11,-,519.84,78.00,RAILWAYS
1390,N24001483,KHAMMAM DEVARAPALLE PKG II 4L ACCESS CONTROLLED (GREENFIELD) FROM SOMAVARAM VILLAGE TO CHINTAGUDEM V,NHAI,LADAKH,2-2022,9/2024,Feb-2022,637.11,-,415.97,84.71,RAILWAYS
1391,N24001484,KHAMMAM-DEVARAPALLE PKG III [4L ACCESS CONTROLLED (GREENFIELD) FROM CHINTAGUDEM VILLAGE TO RECHERLA,NHAI,LADAKH,9-2022,2/2024,Sep-2022,804.69,-,514.29,89.75,RAILWAYS
1392,N24001522,4L OF KODAD (DESIGN KM 0.00/EXISTING KM 185.00 OF NH-65) TO KHAMMAM (DESIGN KM 31.800/EXISTING KM 29,NHAI,LADAKH,1-2021,1/2024,Jan-2021,"1,307.95",-,707.34,99.79,RAILWAYS
1393,N24001555,"6 LANING OF EXISTING 4-LANE STRETCH FROM KALKALLU AT KM.454+000 TO GUNDLA POCHAMPALLY AT KM.471+000,",NHAI,LADAKH,3-2022,1/2025,-,955.49,-,233.46,35.96,RAILWAYS
1394,N24001556,6L OF EXISTING 4L FROM GUNDLAPOCHAMPALLY TO BOWENPALLY FROM KM 471.300 TO KM 481.331 OF NH-44,NHAI,LADAKH,12-2021,7/2024,-,521.53,-,250.70,48.76,RAILWAYS
1395,N24001625,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF JULEKAL VILLAGE TO DINNEDEVARAPADU VILLAGE FROM KM 242.20,NHAI,LADAKH,1-2022,1/2025,-,"1,227.57",-,288.58,44.49,RAILWAYS
1396,N24001626,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF NANDINNE VILLAGE TO JULEKAL VILLAGE FROM KM 202.900 TO KM,NHAI,LADAKH,2-2022,1/2025,-,972.06,-,408.48,66.81,RAILWAYS
1397,N24002000,WIDENING AND STRENGTHENING OF EXISTING 2 LANE WITH PAVED SHOULDER TO 4 LANE WITH PAVED SHOULDER FRO,MoRTH,LADAKH,3-2021,7/2024,-,317.19,-,162.21,70.00,RAILWAYS
1398,N24002001,WIDENING TO 2 LANE WITH PAVED SHOULDERS OF MEDAK - SIDDIPET SECTION FROM KM 0/0 TO KM 69/978 OF NH-,MoRTH,LADAKH,1-2022,1/2025,-,882.18,-,206.02,71.00,RAILWAYS
1399,N24002002,WIDENING AND IMPROVEMENT OF EXISTING CARRIAGE WAY TO 2 LANE WITH PAVED SHOULDERS FROM KM. 86/160 TO,MoRTH,LADAKH,1-2022,12/2024,-,423.48,-,149.27,71.08,RAILWAYS
1400,N24002003,REHABILITATION AND UP-GRADATION OF VALIGONDA TO THORRUR SECTION TO TWO LANE WITH PAVED SHOULDERS FRO,MoRTH,LADAKH,1-2022,12/2024,-,549.28,-,103.51,70.00,RAILWAYS
1401,N24002004,REHABILITATION AND UPGRADATION OF LB- NAGAR TO MALKAPUR SECTION TO 6-LANE MAIN CARRIAGEWAY WITH SERVI,MoRTH,LADAKH,3-2021,7/2024,-,545.11,-,191.56,75.92,RAILWAYS
1402,N24002005,WIDENING TO TWO LANE WITH PAVED SHOULDERS OF 'BODHAN BASAR BHAINSA ' SECTION FROM KM 38/900 TO 95/3,MoRTH,LADAKH,3-2022,3/2025,-,644.45,-,182.85,92.50,RAILWAYS
1403,N24002006,"ONSTRUCTION OF 4-LANE FLYOVER AT AMBERPET-X ROAD, HYDERABAD ON NH- 202 IN THE STATE OF TELANGANA",MoRTH,LADAKH,10-2017,6/2023,-,186.71,-,149.64,91.50,RAILWAYS
1404,N24002007,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/000 TO KM 79/300 OF KALWAKURTHY - KOLLAPUR SECTI,MoRTH,LADAKH,3-2022,7/2025,-,886.69,-,90.46,59.29,RAILWAYS
1405,N24002008,WIDENING TO 2 LANE WITH PAVED SHOULDERS OF SIDDIPET-ELKATHURTHY SECTION FROM KM 69/978 TO KM 133/6,MoRTH,LADAKH,1-2022,12/2024,-,578.85,-,172.76,79.25,RAILWAYS
1406,N24002009,WIDENING AND STRENGTHENING TO 2/4 LANE WITH PAVED SHOULDERS OF MAHABUBNAGAR ? CHINCHOLI SECTION FROM,MoRTH,LADAKH,1-2022,1/2025,-,703.68,-,193.39,61.00,RAILWAYS
1407,N24002010,WIDENING AND STRENGTHENING TO 4 LANE / 2-LANE WITH PAVED SHOULDERS OF MAHABUBNAGAR-CHINCHOLI SECTION,MoRTH,LADAKH,3-2022,3/2024,-,631.49,-,7.92,25.00,RAILWAYS
1408,N24002082,IMPROVEMENT OF GEOMETRICS OF THONDUPALLY TO KOTHUR FROM KM 22.300 TO KM 34.14 OF NH-44-RCW,NHAI,LADAKH,2-2022,9/2024,-,541.58,-,34.89,N.A.,RAILWAYS
1409,N24002083,FOUR LANING OF KARIMNAGAR- WARANGAL SECTION OF NH-563 FROM DESIGN CH.48.860 KM NEAR SH-1 CH.170.400 K,NHAI,LADAKH,3-2022,7/2025,-,"2,146.86","2,413.00",999.41,71.83,RAILWAYS
1410,N24002190,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM- VIJAYAWADA),NHAI,LADAKH,3-2023,8/2026,-,983.00,-,0.00,8.50,RAILWAYS
1411,N24002236,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM - VIJAYAWADA,NHAI,LADAKH,3-2023,3/2025,-,832.62,-,0.00,N.A.,RAILWAYS
1412,N16000495,"GRASS ROOT RAIL FED DEPOT AT SEKERKOTE, AGARTALA AS RESITEMENT OF EXISTING DHARMANAGAR DEPOT",IOCL,LADAKH,6-2022,8/2025,Sep-2025,656.00,-,415.86,82.20,PETROLEUM
1413,N24001263,REHABILITATION AND UPGRADATION OF ROAD FROM KM 0.00 TO KM 18.600 OF KUMARGHAT-KAILASHAHAR SECTION,NHIDCL,LADAKH,6-2020,1/2022,Feb-2024,277.50,302.02,260.38,99.94,PETROLEUM
1414,N24001309,KAILASHAHAR TO KHOWAI PKG-4,NHIDCL,LADAKH,11-2020,6/2022,Oct-2023,159.13,171.50,84.33,100.00,PETROLEUM
1415,N24001317,2-LANING FROM JOLAIBARI - BELONIA,NHIDCL,LADAKH,6-2020,1/2022,-,201.99,-,148.22,100.00,PETROLEUM
1416,N24001363,MANU-SIMLUNG ( PKG 4),NHIDCL,LADAKH,3-2021,12/2022,-,354.79,-,34.08,N.A.,PETROLEUM
1417,N24001542,2 LANING FROM MANU-SIMLUNG PKG-2,NHIDCL,LADAKH,2-2022,1/2025,May-2025,456.88,-,122.23,49.88,PETROLEUM
1418,N24001914,IMPROVEMENT AND WIDENING TO 2-LANE WITH EARTHEN PAVED SHOULDER FROM UDAIPUR TO SRIMANTAPUR,NHIDCL,LADAKH,5-2023,11/2024,-,195.95,-,38.10,45.30,PETROLEUM
1419,N24002132,4 LANE WITH PAVED SHOULDER AGARTALA BYPASS (WESTERN SIDE) CONNECTING NH- 8,NHIDCL,LADAKH,3-2023,3/2027,-,"2,026.05",-,26.34,8.38,PETROLEUM
1420,N24002159,REHABILITATION AND UP-GRADATION OF ROAD FROM DESIGN KM 25.250 TO KM 36.460 (TOTAL LENGH: 11.210 KM),NHIDCL,LADAKH,2-2020,3/2026,-,174.43,-,9.34,16.61,PETROLEUM
1421,N24002160,IMPROVEMENT AND WIDENING TO 2-LANE WITH PAVED SHOULDER OF ROAD FROM KM 101.300 TO KM 127.319 (TOTAL,NHIDCL,LADAKH,1-2024,7/2026,-,431.78,-,52.82,34.61,PETROLEUM
1422,N24002161,KHOWAI ?TELIAMURA-AMARPUR-HARINA- SABROOM PACKAGE-2,NHIDCL,LADAKH,1-2024,9/2026,-,657.21,-,26.37,31.50,PETROLEUM
1423,N24002162,KHOWAI ?TELIAMURA-AMARPUR-HARINA- SABROOM PACKAGE-3,NHIDCL,LADAKH,1-2024,9/2026,-,670.90,-,0.00,2.00,PETROLEUM
1424,N24002205,CHAMPAK NAGAR TO KHAYERPUR SECTION (DESIGN KM 242+500 TO KM 261+610),NHIDCL,LADAKH,12-2023,9/2026,-,920.66,-,73.41,22.00,PETROLEUM
1425,N24002228,KHOWAI ?TELIAMURA-AMARPUR-HARINA- SABROOM SECTION PKG-4,NHIDCL,LADAKH,1-2024,12/2026,-,726.90,-,0.00,3.10,PETROLEUM
1426,N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",AAI,LADAKH,6-2018,9/2021,Oct-2026,"1,383.00","1,938.00","2,645.52",80.37,PETROLEUM
1427,N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,AAI,LADAKH,3-2021,12/2022,Jun-2025,242.14,328.00,344.58,99.90,PETROLEUM
1428,N04000102,"PRAYAGRAJ AIRPORT - CONSTRUCTION OF NEW TERMINAL BUILDING, SECOND LINK TAXI TRACK, APRON EXPANSION,",AAI,LADAKH,5-2023,11/2024,Jul-2025,185.75,274.38,200.46,95.00,PETROLEUM
1429,N04000113,AGRA: DEVELOPMENT OF NEW CIVIL ENCLAVE AT AGRA AIRPORT.,AAI,LADAKH,6-2024,7/2026,-,579.00,-,56.17,11.50,PETROLEUM
1430,N04000114,"VARANASI: DEVELOPMENT OF LAL BAHADUR SHASTRI INTERNATIONAL AIRPORT, VARANASI.",AAI,LADAKH,7-2024,7/2027,-,"2,869.65",-,255.45,14.50,PETROLEUM
1431,N06000152,NEYVELI UTTAR PRADESH POWER PROJECT LIMITED 1980 MW,NLC,LADAKH,7-2016,11/2021,Oct-2025,"17,237.00","21,780.94","19,854.80",90.89,COAL
1432,N06000208,KHADIA EXPANSION OCP,NCL,LADAKH,6-2021,3/2025,-,491.67,-,185.60,39.73,COAL
1433,N16000429,60 KTA POLYPROPYLENE PROJECT,GAIL,LADAKH,3-2019,4/2024,Apr-2024,910.56,"1,299.02",961.00,95.80,PETROLEUM
1434,N16000505,AUGMENTATION OF FACILITIES AT MATHURA BITUMEN PLANT,IOCL,LADAKH,4-2022,4/2025,Dec-2026,260.12,-,1.03,25.00,PETROLEUM
1435,N16000506,GRASS-ROOT TERMINAL AT MIRZAPUR UTTAR PRADESH,IOCL,LADAKH,9-2022,6/2026,-,980.45,-,200.55,49.80,PETROLEUM
1436,N16000525,"CITY GAS DISTRIBUTION PROJECTS AT LAKHIMPUR KHERI , SITAPUR, BAHRAICH, SHRAVASTI,BALRAMPUR,",BPCL,LADAKH,12-2022,6/2030,-,"16,654.00",-,544.01,9.50,PETROLEUM
1437,N18000272,KHURJA SUPER THERMAL POWER PROJECT,THDCIL,LADAKH,3-2019,9/2023,-,"11,089.42","13,276.16","12,317.27",95.50,PETROLEUM
1438,N18000382,"SINGRAULI SUPER THERMAL POWER PROJECT, STAGE-III (2X800 MW)",NTPC,LADAKH,3-2024,2/2030,-,"17,195.31",-,"1,302.80",1.00,PETROLEUM
1439,N18000407,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A,PGCIL,LADAKH,12-2024,12/2026,-,"5,846.00",-,78.74,N.A.,PETROLEUM
1440,N18000423,TRANSMISSION SYSTEM FOR STRENGTHENING TO FACILITATE EVACUATION OF POWER FROM BHADLA/BIKANER COMPLEX,PGCIL,LADAKH,12-2024,6/2026,-,213.00,-,0.00,N.A.,PETROLEUM
1441,N22000468,BURHWAL - GONDA - 3RD RUNNING LINE.,NER,LADAKH,4-2016,3/2025,-,"1,015.59",-,"1,178.02",50.00,PETROLEUM
1442,N22000470,"SHAHGANJ-BHATNI-PHEPHNA-INDARA, MAU- SHAHGANJ (EXCL. MAU-INDARA) PATCH DOUBLING.",NER,LADAKH,4-2016,12/2024,-,"1,177.96",-,"2,050.16",81.00,PETROLEUM
1443,N22000495,JHANSI MANIKPUR AND KHAIRAR BHIMSEN DOUBLING,NCR,LADAKH,3-2018,3/2026,-,"4,329.53",-,"2,008.74",50.00,PETROLEUM
1444,N22000496,JHANSI BINA DOUBLING,NCR,LADAKH,9-2016,3/2022,-,"2,002.00",-,"1,725.18",90.00,PETROLEUM
1445,N22000501,MATHURA-JHANSI-3RD LINE (273.80 KM),RVNL,LADAKH,6-2016,12/2024,-,"5,323.39",-,"5,046.07",N.A.,PETROLEUM
1446,N22000525,SURFACE TRIANGLE LINE BETWEEN BHADURA STATION AND NEW CROSSING STN KARMA DOUBLING,ECR,LADAKH,10-2022,10/2027,-,199.96,-,55.09,N.A.,PETROLEUM
1447,N22000544,MUGHALSARAI - ALLAHABAD - 3RD LINE,NCR,LADAKH,8-2019,12/2026,-,"2,649.44",-,83.10,55.00,PETROLEUM
1448,N22000545,ALIGARH-HARDUAGANJ FLYOVER (22 KM),NCR,LADAKH,4-2020,6/2026,-,"1,456.89","1,244.13",10.14,8.10,PETROLEUM
1449,N22000546,LALITPUR - BIRARI WITH FLYOVER AT LALITPUR,NCR,LADAKH,3-2017,12/2024,-,356.09,-,196.83,65.00,PETROLEUM
1450,N22000562,ALIGARH-DAUD KHAN - 3RD LINE 6.9 KM AND CONSTRUCTION OF FLYOVER AT DAUD KHAN,NCR,LADAKH,4-2019,12/2025,-,451.99,779.49,122.08,43.00,PETROLEUM
1451,N22000563,ALLAHABAD-BAMHRAULI - 4TH LINE (10 KM) WITH FLY-OVER AT SUBEDARGANJ,NCR,LADAKH,4-2019,3/2026,-,494.11,-,42.61,42.00,PETROLEUM
1452,N22000564,BHANDAI - FLYOVER FOR ETAWAH BOUND DOWN TRAINS,NCR,LADAKH,4-2019,12/2025,-,187.21,-,1.29,8.00,PETROLEUM
1453,N22000565,SAHJANWA - DOHRIGHAT,NER,LADAKH,8-2019,3/2029,-,371.77,-,569.15,3.00,PETROLEUM
1454,N22000566,BAHRAICH - NANPARA -NEPALGANJ (56.15 KM),NER,LADAKH,7-2020,12/2024,-,950.00,-,402.22,22.00,PETROLEUM
1455,N22000569,BAHRAICH SRAVASTI BALRAMPUR (TULSIPUR),NER,LADAKH,10-2018,10/2030,-,"4,939.78",-,"1,114.69",7.00,PETROLEUM
1456,N22000583,JANGHAI PRATAPGARH AMETHI DOUBLING,NR,LADAKH,11-2017,3/2025,-,721.72,-,58.98,70.00,PETROLEUM
1457,N22000590,BARABANKI MALHAUR 3RD AND 4TH LINE (32.84 KM),NR,LADAKH,1-2019,3/2025,Jan-2026,323.85,-,5.17,58.00,PETROLEUM
1458,N22000591,DOUBLING BETWEEN JAUNPUR JN- ZAFFARABAD (6.28 KM),NR,LADAKH,3-2023,12/2026,-,177.33,-,0.89,10.00,PETROLEUM
1459,N22000596,JANGHAI-PHAPHAMAU - DOUBLING WITH ELECTRIFICATION (46.79 KM),RVNL,LADAKH,11-2018,3/2025,-,357.48,-,362.09,N.A.,PETROLEUM
1460,N22000598,BHATNI - AUNRIHAR WITH ELECTRIFICATION (125 KM) (EXCL INDARA - MAU (116.95 KM)),RVNL,LADAKH,5-2018,12/2024,-,"2,529.46",-,"1,636.33",N.A.,PETROLEUM
1461,N22000612,MATHURA - VRINDAVAN (11 KM),NCR,LADAKH,8-2022,6/2025,-,402.88,-,0.00,N.A.,PETROLEUM
1462,N22000613,DOMINGARH - GORAKHPUR - GORAKHPUR CANTT - KUSUMHI - 3RD RUNNING LINE (21.15 KM),NER,LADAKH,11-2016,2/2025,-,351.03,-,476.09,86.00,PETROLEUM
1463,N24000331,CONSTRUCTION OF RING ROAD FOR RAEBARELI CITY (PHASE -I) ON EASTERN SIDE OF NH 24B,MoRTH,LADAKH,12-2019,4/2022,-,282.41,-,276.35,88.00,PETROLEUM
1464,N24000564,4-LANNING OF HARIDWAR-NAGINA SECTION OF NH 74 FROM (KM 204.300 OF NH 58) TO KM 73.00,NHAI,LADAKH,3-2016,7/2020,Jul-2025,"1,408.00","1,659.12","1,329.27",88.97,PETROLEUM
1465,N24000798,SIX LANING OF HAPUR BYPASS TO MORADABAD SECTION INCLUDING HAPUR BYPASS FROM KM 50.000 (DESIGN CHAINA,NHAI,LADAKH,3-2018,11/2021,-,"2,140.93",-,"2,067.70",99.65,PETROLEUM
1466,N24001306,TWO / FOUR LANING OF RAEBARELI - JAGDISHPUR SECTION OF NH-330A FROM KM. 0.000 TO KM. 47.800 (DESIGN,NHAI,LADAKH,10-2020,3/2023,-,724.60,-,569.96,96.00,PETROLEUM
1467,N24001421,CONSTRUCTION OF 6 LANE BRIDGE ON GANGA ON NH-96 AND ITS APPROACHES IN PHAPHAMAU ALLAHABAD ON EPC MOD,MoRTH,LADAKH,7-2018,2/2024,-,"1,948.25",-,"1,133.21",77.00,PETROLEUM
1468,N24001424,CONSTRUCTION OF FOUR-LANE ELEVATED VIADUCT FROM KM.4+634 TO KM.6+345 ON NH-24A INCLUDING RETAINING W,MoRTH,LADAKH,3-2021,9/2023,-,185.09,269.81,266.35,100.00,PETROLEUM
1469,N24001456,REHABILITATION AND UPGRADATION TO 2 LANE WITH PS OF RADHAITA TO PILIBHIT SECTION OF 46.130 KM,MoRTH,LADAKH,4-2020,2/2024,-,199.39,212.96,200.01,100.00,PETROLEUM
1470,N24001457,REHABILITATION AND UPGRADATION TO 2 LANE WITH PS OF MIRANPUR KATRA TO RADHAITA SECTION OF NH-730C F,MoRTH,LADAKH,4-2020,7/2024,-,172.50,169.56,106.06,73.00,PETROLEUM
1471,N24001461,2-LANE WITH PS OF BEWAR TO NEAR KARRI VILLAGE SECTION OF NH-92 FROM KM.0.00 TO 30.00 UNDER GNHCP,MoRTH,LADAKH,4-2020,3/2024,-,236.47,-,145.88,87.00,PETROLEUM
1472,N24001462,2-LANE WITH PS OF NEAR KARRI VILLAGE TO ETAWAH SECTION OF NH-92 FROM KM.30.000 TO 57.346 UNDER GNHCP,MoRTH,LADAKH,4-2020,7/2024,-,211.09,-,147.58,96.00,PETROLEUM
1473,N24001464,PROJECTS- REHABILITATION AND UPGRADATION OF NH-731A FROM KM 0.00 TO KM.35.00,MoRTH,LADAKH,3-2021,8/2023,-,264.86,-,129.12,84.00,PETROLEUM
1474,N24001469,IMPROVEMENT AND UPGRADATION TO TWO LANE WITH PAVED SHOULDER CONFIGURATION FROM EXISTING KM 55.00 TO,MoRTH,LADAKH,11-2021,5/2024,-,307.11,-,199.38,91.00,PETROLEUM
1475,N24001471,R/U TO 2-LANE WITH PS OF BEWAR TO ALLAHGANJ SECTION OF NH-730C FROM KM.0.00 TO 52.770 UNDER GNHCP,MoRTH,LADAKH,4-2020,11/2024,-,325.24,340.16,284.35,96.00,PETROLEUM
1476,N24001479,WIDENING AND UPGRADATION TO FOUR LANE CONFIGURATION FROM KM.34.900 (BHADOHI) TO KM.73.134 (JAUNPUR),MoRTH,LADAKH,3-2021,5/2024,-,395.62,392.03,281.93,72.00,PETROLEUM
1477,N24001480,WIDENING AND STRENGTHENING FROM KM 0.00 TO KM 15.089 OF NH-334A (PURKAJI- LAKSAR-HARIDWAR ROAD) TO TW,MoRTH,LADAKH,10-2021,4/2024,-,227.06,-,141.89,100.00,PETROLEUM
1478,N24001523,6L ACCESS-CONTROLLED HIGHWAY FROM (GANESHPUR) TO(NEAR MOHAND) OF GANESHPUR ? DEHRADUN SECTION FROM K,NHAI,LADAKH,3-2021,10/2023,Jun-2025,836.24,-,792.55,98.85,PETROLEUM
1479,N24001524,6L OF ACCESS-CONTROLLED HIGHWAY FROM MOHAND TO DAAT KALI TUNNEL OF GANESHPUR ? DEHRADUN SECTION FROM,NHAI,LADAKH,3-2021,10/2023,Jun-2025,990.28,-,997.62,98.79,PETROLEUM
1480,N24001587,WIDENING AND STRENGTHENING OF SECTION FROM BHARTHANA CHOWK TO KODARKOOT (KM. 0.00 TO KM. 40.00) OF,MoRTH,LADAKH,3-2020,9/2024,-,262.37,343.77,278.92,85.00,PETROLEUM
1481,N24001726,4L SPUR OF SHAMLI-MUZZAFARNAGAR CONNECTING NH-709AD (PANIPAT-SHAMLI- MUZAFFARNAGAR) AND NH-58 (MEERUT,NHAI,LADAKH,1-2023,8/2024,-,391.26,-,14.12,80.30,PETROLEUM
1482,N24001727,"IMPROVEMENT AND UP-GRADATION OF EXISTING ROAD TO 2/4L PS FROM KM 40.000 TO 88.750, START OF KHUTAR B",NHAI,LADAKH,3-2022,2/2025,-,762.62,-,561.21,94.75,PETROLEUM
1483,N24001729,4L SPUR OF PANIPAT - SHAMLI CONNECTING NH-709AD (PANIPAT ? SHAMLI ? MUZAFFARNAGAR) AND NH-709A (KARN,NHAI,LADAKH,8-2022,4/2024,-,326.79,-,113.42,96.00,PETROLEUM
1484,N24001730,4L FROM GAJU VILLAGE AT KM 32.982 TO DEVINAGAR BYPASS (END) AT KM 208.000 OF NH 530B (PKG 1C),NHAI,LADAKH,12-2021,1/2025,-,"1,384.79",-,657.94,97.98,PETROLEUM
1485,N24001731,6L GREENFIELD KANPUR - LUCKNOW (EXPRESSWAY) PKG II FROM KM. 28.500 TO KM. 73.744,NHAI,LADAKH,12-2021,5/2025,May-2025,"2,470.64",-,691.28,87.62,PETROLEUM
1486,N24001732,"IMPROVEMENT AND UP-GRADATION OF EXISTING ROAD TO 4L PS FROM KM 229.070 TO 260.800, END OF HARDOI DIS",NHAI,LADAKH,12-2021,10/2024,-,540.97,-,270.14,93.61,PETROLEUM
1487,N24001733,6L ACCESS CONTROLLED GREENFIELD HIGHWAY OF JUNCTION OF EPE (VILL.- MAVIKALAN) TO VILL.-LOHADDA FROM K,NHAI,LADAKH,3-2022,8/2024,-,"1,602.48",-,444.51,92.00,PETROLEUM
1488,N24001734,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-LOHADDA TO VILL- KARAUNDA MAHAJAN FROM KM. 27.000 TO KM.,NHAI,LADAKH,3-2022,8/2024,-,"1,335.45",-,462.61,82.45,PETROLEUM
1489,N24001735,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-KHYAWARI TO VILL- LATIFPUR AT SAHARANPUR BYPASS FROM KM,NHAI,LADAKH,3-2022,8/2024,-,"1,428.19",-,529.71,88.46,PETROLEUM
1490,N24001736,6L ACCESS CONTROL GREENFIELD HIGHWAY OF VILL-KARAUNDA MAHAJAN TO VILL-KHYAWARI FROM KM. 56.500 TO K,NHAI,LADAKH,1-2022,8/2024,-,"1,159.96",-,515.16,98.69,PETROLEUM
1491,N24001737,"4LPS OF MUZAFFARNAGAR TO MIRANPUR SECTION OF NH-709AD, PKG-III",NHAI,LADAKH,11-2021,4/2024,-,923.15,-,455.61,100.00,PETROLEUM
1492,N24001738,"2LPS OF BIJNOR TO KOTAWALI SECTION OF NH-709AD, PKG-IV",NHAI,LADAKH,9-2021,10/2023,Dec-2024,300.79,-,122.56,76.70,PETROLEUM
1493,N24001739,REHABILITATION and UPGRADATION FROM 2 LANE TO 4 LANE OF NH STRETCH UNDER BHARATMALA PARIYOJANA FOR U,NHAI,LADAKH,10-2019,11/2023,Dec-2024,"1,779.83",-,"1,066.00",100.00,PETROLEUM
1494,N24001744,"4L OF SHAMLI BYAPSS- SAHARANPUR FROM KM 92.2 TO KM 155.025 SECTION OF NH-709B, PKG-II",NHAI,LADAKH,5-2019,11/2022,-,779.17,-,64.10,98.27,PETROLEUM
1495,N24001745,KANPUR LUCKNOW EXPRESSWAY PKG-1 CONSTRUCTION OF 6-LANE TO EIGHT LANE OF KANPUR LUCKNOW EXPRESSWAY (N,NHAI,LADAKH,12-2021,7/2025,Jul-2025,"1,972.10",-,493.67,64.31,PETROLEUM
1496,N24001746,2-LANE EXISTING RAMPUR BYPASS OF RAMPUR TO BE DEVELOPED TO 4-LANE ON EPC MODE IN THE STATE OF UTTAR,NHAI,LADAKH,3-2021,4/2024,Jun-2025,364.47,-,208.55,91.66,PETROLEUM
1497,N24001753,4 LANING OF NAJIBABAD BYPASS OF NH- 119 FROM KM. 105.423 TO KM. 118.373 (EXCLUDING 2.45 KM. OF NH-74,NHAI,LADAKH,2-2022,6/2024,May-2025,570.98,578.02,400.10,96.06,PETROLEUM
1498,N24001754,SPUR OF MEERUT-GARH-MUKTESHWAR SECTION(NH-709A) CONNECTING NH-119 AND NH-58 BYPASSING MEERUT TOWN,NHAI,LADAKH,1-2022,10/2024,-,953.79,-,384.66,68.59,PETROLEUM
1499,N24001755,4-LANING OF MEERUT NAJIBABAD SECTION FROM KM. 11.500 TO KM 39.250 AND KM 86.590 TO KM. 112.545.IN TH,NHAI,LADAKH,10-2019,3/2023,Dec-2024,"1,936.68",-,"1,380.90",100.00,PETROLEUM
1500,N24001772,4 LANE CONNECTOR FROM DELHI MEERUT EXPRESSWAY KM 50.000 TO KM 8.520 OF NH 235 IN THE STATE OF UTTAR,NHAI,LADAKH,8-2021,3/2024,Dec-2024,"1,147.26",-,81.34,60.00,PETROLEUM
1501,N24001826,VARANASI RING ROAD (PKG-II) CONNECTING SANDAHA VILLAGE (KM 11.70 / NH-29) WITH REVASA VILLAGE (KM 81,NHAI,LADAKH,2-2019,2/2022,Jun-2025,927.77,-,"1,202.77",91.25,PETROLEUM
1502,N24001830,SIX LANE ACCESS CONTROLLED OF DELHI SAHARANPUR HIGHWAY FROM DELHI UP BORDER TO EPE JUNCTION CH.14.75,NHAI,LADAKH,6-2020,11/2023,Dec-2024,"2,002.79",-,"1,989.85",99.00,PETROLEUM
1503,N24001851,4L FROM MATHURA BYPASS (START) AT EXISTING KM. 154.20 OF NH-44 TO GAJU VILLAGE AT KM 32.982 OF NH-53,NHAI,LADAKH,1-2022,3/2025,-,"1,738.20",-,742.13,65.00,PETROLEUM
1504,N24001852,6L OF AGRA BYPASS (NORTHERN) CONNECTING KM. 174.500 OF NH-2 (NEW NH-19) TO KM. 141.000 OF YAMUNA EXP,NHAI,LADAKH,10-2021,2/2025,-,957.62,-,832.80,86.00,PETROLEUM
1505,N24001853,CONSTRUCTION OF LEFT OUT PORTION OF AGRA INNER RING ROAD CONNECTING VILLAGE DEORI TO NH-44 VILLAGE B,NHAI,LADAKH,10-2021,9/2024,Mar-2025,772.05,-,593.39,67.50,PETROLEUM
1506,N24001929,CONSTRUCTION OF 4-LANE GREEN FIELD HIGHWAY FROM KM. 35.000 TO KM. 49.155 OF NH-731A WITH PAVED SHOUL,MoRTH,LADAKH,1-2022,10/2025,-,697.66,-,318.82,94.00,PETROLEUM
